customer_id,name,email,country,account_balance,last_transaction_date
49,Robert Kent,robert.kent@investhub.com,UK,16928.86,2025-05-01
50,Donald Miller,donald.miller@securebank.net,Canada,14920.69,2025-04-27
51,Scott Gomez,scott.gomez@capitaltrust.io,Canada,21325.98,2025-04-20
52,Jason Mcdaniel,jason.mcdaniel@investhub.com,India,9952.91,2025-04-11
53,Brooke Owens,brooke.owens@capitaltrust.io,India,23984.72,2025-03-28
54,Mrs. Heather Everett,mrs..heather.everett@finco.com,USA,13899.2,2025-04-15
55,Ryan Harrison,ryan.harrison@wealthplus.org,Canada,19353.98,2025-03-29
56,Kevin Mcbride,kevin.mcbride@wealthplus.org,UK,15942.04,2025-04-12
57,Kimberly Callahan,kimberly.callahan@securebank.net,Canada,13597.2,2025-04-18
58,Tara Smith,tara.smith@finco.com,USA,24779.29,2025-05-06
59,Eric Gonzales,eric.gonzales@capitaltrust.io,Germany,15417.3,2025-05-06
60,Jermaine Lewis,jermaine.lewis@investhub.com,UK,28376.67,2025-03-28
61,Kenneth Thompson,kenneth.thompson@securebank.net,USA,27534.38,2025-05-10
62,James Davis,james.davis@wealthplus.org,Germany,8609.27,2025-04-15
63,Debra Brennan,debra.brennan@finco.com,USA,8052.01,2025-04-20
64,Dawn Terry,dawn.terry@securebank.net,Germany,11731.68,2025-04-01
65,Natalie Parks,natalie.parks@securebank.net,Germany,28381.76,2025-03-28
66,Melissa Rodriguez,melissa.rodriguez@finco.com,UK,16298.67,2025-04-04
67,Jorge Chambers,jorge.chambers@finco.com,Germany,24890.16,2025-03-30
68,Timothy Wright,timothy.wright@wealthplus.org,India,22783.84,2025-03-23
69,Sarah Perez,sarah.perez@wealthplus.org,UK,11559.17,2025-04-14
70,Brandon Callahan,brandon.callahan@securebank.net,Canada,24726.67,2025-04-08
71,Shannon Lewis,shannon.lewis@securebank.net,Germany,23905.61,2025-03-28
72,Adam Houston,adam.houston@capitaltrust.io,Canada,21928.17,2025-04-21
73,Brooke Dixon,brooke.dixon@capitaltrust.io,India,15331.34,2025-05-15
74,Malik Lawrence,malik.lawrence@wealthplus.org,USA,8839.24,2025-04-16
75,Justin Thomas,justin.thomas@wealthplus.org,UK,17310.09,2025-04-20
76,Matthew Henderson,matthew.henderson@finco.com,Canada,26811.36,2025-03-20
77,Kristina Martinez,kristina.martinez@finco.com,Canada,13695.44,2025-04-29
78,Victoria Pierce,victoria.pierce@investhub.com,UK,18138.61,2025-05-14
79,Dennis Edwards,dennis.edwards@securebank.net,Germany,14233.21,2025-04-02
80,Jeffrey Paul,jeffrey.paul@capitaltrust.io,Germany,15393.31,2025-04-09
81,David Key,david.key@finco.com,Canada,21440.79,2025-05-02
82,Bruce Franklin,bruce.franklin@wealthplus.org,India,14431.73,2025-05-16
83,Jean Torres,jean.torres@finco.com,Germany,15104.89,2025-04-06
84,Angela Jordan,angela.jordan@wealthplus.org,UK,15942.93,2025-03-28
85,Julie Berry,julie.berry@capitaltrust.io,Canada,17710.51,2025-05-02
86,Bradley Nguyen,bradley.nguyen@securebank.net,UK,12608.5,2025-04-14
87,Amy Dean,amy.dean@finco.com,Canada,28777.03,2025-04-09
88,Amanda Wallace,amanda.wallace@investhub.com,USA,28965.35,2025-04-26
89,Morgan Mills,morgan.mills@capitaltrust.io,Germany,25131.24,2025-05-08
90,Kyle Olson,kyle.olson@wealthplus.org,UK,24756.0,2025-05-07
91,Steve Fleming,steve.fleming@investhub.com,India,17874.62,2025-04-27
92,Shannon Velez,shannon.velez@finco.com,USA,29592.74,2025-03-21
93,Robin White,robin.white@investhub.com,UK,19359.72,2025-04-06
94,Rhonda Gilmore,rhonda.gilmore@securebank.net,USA,29041.01,2025-04-13
95,Douglas Burke,douglas.burke@securebank.net,India,27971.83,2025-04-25
96,Kimberly Barnes,kimberly.barnes@securebank.net,India,28882.14,2025-04-26
97,Jill Robinson,jill.robinson@investhub.com,Canada,8300.17,2025-05-07
98,Douglas Montgomery,douglas.montgomery@wealthplus.org,India,8127.24,2025-04-04
99,Courtney Thomas,courtney.thomas@wealthplus.org,Canada,19445.12,2025-04-10
100,Jessica Butler,jessica.butler@capitaltrust.io,USA,16744.21,2025-04-24
